label,nmse_db,cdf
"Baseline 2: Optimal RU, fixed beams (0°/0°)",11.4539883700312,1.0
"Baseline 4: Closest RU, fixed beams (0°/0°)",-27.7931824465904,0.00119904076738609
"Baseline 4: Closest RU, fixed beams (0°/0°)",-27.5320337783741,0.00470438941865411
"Baseline 4: Closest RU, fixed beams (0°/0°)",-27.2708851101577,0.00793735837721657
"Baseline 4: Closest RU, fixed beams (0°/0°)",-27.0097364419414,0.0121507617822051
"Baseline 4: Closest RU, fixed beams (0°/0°)",-26.748587773725,0.0145593964320763
"Baseline 4: Closest RU, fixed beams (0°/0°)",-26.4874391055086,0.0193602642337177
"Baseline 4: Closest RU, fixed beams (0°/0°)",-26.2262904372923,0.0219069474179762
"Baseline 4: Closest RU, fixed beams (0°/0°)",-25.9651417690759,0.0224799403728809
"Baseline 4: Closest RU, fixed beams (0°/0°)",-25.7039931008596,0.0246688481205749
"Baseline 4: Closest RU, fixed beams (0°/0°)",-25.4428444326432,0.0280378336304182
"Baseline 4: Closest RU, fixed beams (0°/0°)",-25.1816957644269,0.0301103306611307
"Baseline 4: Closest RU, fixed beams (0°/0°)",-24.9205470962105,0.033714734726
"Baseline 4: Closest RU, fixed beams (0°/0°)",-24.6593984279942,0.0367514617258707
"Baseline 4: Closest RU, fixed beams (0°/0°)",-24.3982497597778,0.0396659790091256
"Baseline 4: Closest RU, fixed beams (0°/0°)",-24.1371010915615,0.0403386773823997
"Baseline 4: Closest RU, fixed beams (0°/0°)",-23.8759524233451,0.0436859865436991
"Baseline 4: Closest RU, fixed beams (0°/0°)",-23.6148037551287,0.0482318784500101
"Baseline 4: Closest RU, fixed beams (0°/0°)",-23.3536550869124,0.0508218559169031
"Baseline 4: Closest RU, fixed beams (0°/0°)",-23.092506418696,0.0595184243585203
"Baseline 4: Closest RU, fixed beams (0°/0°)",-22.8313577504797,0.0688438906911815
"Baseline 4: Closest RU, fixed beams (0°/0°)",-22.5702090822633,0.0778473035927388
"Baseline 4: Closest RU, fixed beams (0°/0°)",-22.309060414047,0.0811347424978903
"Baseline 4: Closest RU, fixed beams (0°/0°)",-22.0479117458306,0.0859023222270247
"Baseline 4: Closest RU, fixed beams (0°/0°)",-21.7867630776143,0.0892658490555469
"Baseline 4: Closest RU, fixed beams (0°/0°)",-21.5256144093979,0.0916678012653675
"Baseline 4: Closest RU, fixed beams (0°/0°)",-21.2644657411815,0.0971800426796967
"Baseline 4: Closest RU, fixed beams (0°/0°)",-21.0033170729652,0.100863797633299
"Baseline 4: Closest RU, fixed beams (0°/0°)",-20.7421684047488,0.102256508210446
"Baseline 4: Closest RU, fixed beams (0°/0°)",-20.4810197365325,0.10388560099621
"Baseline 4: Closest RU, fixed beams (0°/0°)",-20.2198710683161,0.108611243225954
"Baseline 4: Closest RU, fixed beams (0°/0°)",-19.9587224000998,0.109920646123235
"Baseline 4: Closest RU, fixed beams (0°/0°)",-19.6975737318834,0.112966665877691
"Baseline 4: Closest RU, fixed beams (0°/0°)",-19.4364250636671,0.114359219443588
"Baseline 4: Closest RU, fixed beams (0°/0°)",-19.1752763954507,0.118358803211204
"Baseline 4: Closest RU, fixed beams (0°/0°)",-18.9141277272344,0.121365047142969
"Baseline 4: Closest RU, fixed beams (0°/0°)",-18.652979059018,0.121895829560996
"Baseline 4: Closest RU, fixed beams (0°/0°)",-18.3918303908016,0.123842515798014
"Baseline 4: Closest RU, fixed beams (0°/0°)",-18.1306817225853,0.134325876552985
"Baseline 4: Closest RU, fixed beams (0°/0°)",-17.8695330543689,0.14461883578888
"Baseline 4: Closest RU, fixed beams (0°/0°)",-17.6083843861526,0.151891249120682
"Baseline 4: Closest RU, fixed beams (0°/0°)",-17.3472357179362,0.157817025168349
"Baseline 4: Closest RU, fixed beams (0°/0°)",-17.0860870497199,0.163217851713871
"Baseline 4: Closest RU, fixed beams (0°/0°)",-16.8249383815035,0.168695636071851
"Baseline 4: Closest RU, fixed beams (0°/0°)",-16.5637897132872,0.171285771500078
"Baseline 4: Closest RU, fixed beams (0°/0°)",-16.3026410450708,0.182335490993984
"Baseline 4: Closest RU, fixed beams (0°/0°)",-16.0414923768545,0.195129374580698
"Baseline 4: Closest RU, fixed beams (0°/0°)",-15.7803437086381,0.208761356071189
"Baseline 4: Closest RU, fixed beams (0°/0°)",-15.5191950404217,0.217761493421553
"Baseline 4: Closest RU, fixed beams (0°/0°)",-15.2580463722054,0.228204473093368
"Baseline 4: Closest RU, fixed beams (0°/0°)",-14.996897703989,0.239025774391233
"Baseline 4: Closest RU, fixed beams (0°/0°)",-14.7357490357727,0.242729365529639
"Baseline 4: Closest RU, fixed beams (0°/0°)",-14.4746003675563,0.247409113694588
"Baseline 4: Closest RU, fixed beams (0°/0°)",-14.21345169934,0.253711973839844
"Baseline 4: Closest RU, fixed beams (0°/0°)",-13.9523030311236,0.258104021227101
"Baseline 4: Closest RU, fixed beams (0°/0°)",-13.6911543629073,0.26048810743163
"Baseline 4: Closest RU, fixed beams (0°/0°)",-13.4300056946909,0.262822589507283
"Baseline 4: Closest RU, fixed beams (0°/0°)",-13.1688570264746,0.265404906913555
"Baseline 4: Closest RU, fixed beams (0°/0°)",-12.9077083582582,0.267723986006884
"Baseline 4: Closest RU, fixed beams (0°/0°)",-12.6465596900418,0.269439513174268
"Baseline 4: Closest RU, fixed beams (0°/0°)",-12.3854110218255,0.272522593928603
"Baseline 4: Closest RU, fixed beams (0°/0°)",-12.1242623536091,0.295146700395757
"Baseline 4: Closest RU, fixed beams (0°/0°)",-11.8631136853928,0.314771169601449
"Baseline 4: Closest RU, fixed beams (0°/0°)",-11.6019650171764,0.331359539224539
"Baseline 4: Closest RU, fixed beams (0°/0°)",-11.3408163489601,0.337027988544117
"Baseline 4: Closest RU, fixed beams (0°/0°)",-11.0796676807437,0.344292448498238
"Baseline 4: Closest RU, fixed beams (0°/0°)",-10.8185190125274,0.346973840205721
"Baseline 4: Closest RU, fixed beams (0°/0°)",-10.557370344311,0.349704001697366
"Baseline 4: Closest RU, fixed beams (0°/0°)",-10.2962216760946,0.355852003304527
"Baseline 4: Closest RU, fixed beams (0°/0°)",-10.0350730078783,0.362571699875943
"Baseline 4: Closest RU, fixed beams (0°/0°)",-9.77392433966194,0.368107944398323
"Baseline 4: Closest RU, fixed beams (0°/0°)",-9.51277567144558,0.370750075735335
"Baseline 4: Closest RU, fixed beams (0°/0°)",-9.25162700322923,0.375307526316135
"Baseline 4: Closest RU, fixed beams (0°/0°)",-8.99047833501288,0.376259527575519
"Baseline 4: Closest RU, fixed beams (0°/0°)",-8.72932966679652,0.378341841951743
"Baseline 4: Closest RU, fixed beams (0°/0°)",-8.46818099858017,0.382498607695966
"Baseline 4: Closest RU, fixed beams (0°/0°)",-8.20703233036381,0.385451126609584
"Baseline 4: Closest RU, fixed beams (0°/0°)",-7.94588366214746,0.392414091591802
"Baseline 4: Closest RU, fixed beams (0°/0°)",-7.6847349939311,0.394143351222418
"Baseline 4: Closest RU, fixed beams (0°/0°)",-7.42358632571475,0.419068161487454
"Baseline 4: Closest RU, fixed beams (0°/0°)",-7.16243765749839,0.434713805390258
"Baseline 4: Closest RU, fixed beams (0°/0°)",-6.90128898928204,0.457443343869667
"Baseline 4: Closest RU, fixed beams (0°/0°)",-6.64014032106568,0.479741557111792
"Baseline 4: Closest RU, fixed beams (0°/0°)",-6.37899165284933,0.526973556133738
"Baseline 4: Closest RU, fixed beams (0°/0°)",-6.11784298463298,0.548940849994945
"Baseline 4: Closest RU, fixed beams (0°/0°)",-5.85669431641662,0.569392144196238
"Baseline 4: Closest RU, fixed beams (0°/0°)",-5.59554564820026,0.578755933229398
"Baseline 4: Closest RU, fixed beams (0°/0°)",-5.33439697998391,0.586785768811698
"Baseline 4: Closest RU, fixed beams (0°/0°)",-5.07324831176756,0.591493327829772
"Baseline 4: Closest RU, fixed beams (0°/0°)",-4.8120996435512,0.595586246601957
"Baseline 4: Closest RU, fixed beams (0°/0°)",-4.55095097533485,0.597069144838379
"Baseline 4: Closest RU, fixed beams (0°/0°)",-4.28980230711849,0.602870357950985
"Baseline 4: Closest RU, fixed beams (0°/0°)",-4.02865363890214,0.609007640693148
"Baseline 4: Closest RU, fixed beams (0°/0°)",-3.76750497068578,0.617120552100941
"Baseline 4: Closest RU, fixed beams (0°/0°)",-3.50635630246943,0.63296540252342
"Baseline 4: Closest RU, fixed beams (0°/0°)",-3.24520763425307,0.645374230765324
"Baseline 4: Closest RU, fixed beams (0°/0°)",-2.98405896603672,0.674489904993109
"Baseline 4: Closest RU, fixed beams (0°/0°)",-2.72291029782036,0.698504220321839
"Baseline 4: Closest RU, fixed beams (0°/0°)",-2.46176162960401,0.712266858504872
"Baseline 4: Closest RU, fixed beams (0°/0°)",-2.20061296138765,0.723335243167813
"Baseline 4: Closest RU, fixed beams (0°/0°)",-1.9394642931713,0.74001354378709
"Baseline 4: Closest RU, fixed beams (0°/0°)",-1.67831562495494,0.7499658900382
"Baseline 4: Closest RU, fixed beams (0°/0°)",-1.41716695673859,0.755933505455992
"Baseline 4: Closest RU, fixed beams (0°/0°)",-1.15601828852223,0.758872568577798
"Baseline 4: Closest RU, fixed beams (0°/0°)",-0.894869620305879,0.762601868846757
"Baseline 4: Closest RU, fixed beams (0°/0°)",-0.633720952089526,0.765576465005981
"Baseline 4: Closest RU, fixed beams (0°/0°)",-0.372572283873168,0.76878851421177
"Baseline 4: Closest RU, fixed beams (0°/0°)",-0.111423615656815,0.770688954077254
"Baseline 4: Closest RU, fixed beams (0°/0°)",0.149725052559539,0.776371151009751
"Baseline 4: Closest RU, fixed beams (0°/0°)",0.410873720775893,0.782947757229587
"Baseline 4: Closest RU, fixed beams (0°/0°)",0.67202238899225,0.78409978987375
"Baseline 4: Closest RU, fixed beams (0°/0°)",0.933171057208604,0.787714673226204
"Baseline 4: Closest RU, fixed beams (0°/0°)",1.19431972542496,0.78916717759053
